Date,Timefile,Time,Frame,Size (cm),Direction,Notes
July 5,02:50,02:59:05,2501/2759,46,up,
July 5,02:50,02:59:05,2501/2759,45,up,
July 5,02:30,02:30:03,13/2775,43,up,
July 5,02:30,02:31:33,424/2775,50,up,
July 5,02:30,02:32:20,646/2775,51,up,
July 5,02:30,02:33:26,949/2775,53,up,
July 5,02:30,02:34:50,1349/2775,47,up,
July 5,02:30,02:34:52,1355/2775,56,DS,
July 5,02:30,02:37:02,1947/2775,61,up,
July 5,03:10,03:10:58,268/2769,54,up,
July 5,03:10,03:11:46,474/2769,60,up,
July 5,03:10,03:13:17,901/2760,57,up,
July 5,03:10,03:13:42,1009/1769,45,up,
July 5,03:10,03:13:42,1009/1769,67,up,
July 5,03:10,03:14:51,1333/2769,47,↻,
July 5,03:10,03:16:56,1916/2769,43,up,
July 5,03:10,03:16:56,1916/2769,51,up,
July 5,03:10,03:17:12,1991/2769,58,up,
July 5,03:10,03:17:12,1991/2769,48,up,
July 5,03:10,03:17:50,2167/2769,58,up,
July 5,03:10,03:19:27,2614/2769,51,↻,
July 5,03:10,03:19:52,2733/2769,58,up,
July 5,03:40,03:41:35,430/2779,47,up,
July 5,03:40,03:43:18,924/2779,85,up,
July 5,03:40,03:44:04,1120/2779,51,up,
July 5,03:40,03:47:08,1974/2779,46,up,
July 5,04:50,04:50:46,213/2775,61,up,
July 5,04:50,04:54:52,1338/2775,72,↻,
July 5,04:50,04:54:55,1352/2775,77,↻,
July 5,04:50,04:54:57,1363/2775,57,DS,
July 5,04:50,04:55:52,1617/2775,88,DS ↻,
July 5,04:50,04:57:00,1939/2775,82,↻,
July 5,04:40,04:47:39,2131/2786,69,up,
July 5,04:40,04:47:39,2131/2786,49,up,
July 5,05:10,05:11:05,280/2729,85,DS,
July 5,05:10,05:13:33,981/2729,85,up,
July 5,05:10,05:15:42,1565/2729,57,up,
July 5,05:20,05:22:16,624/2729,59,DS,
July 5,05:20,05:22:16,624/2729,73,DS,
July 5,05:20,05:23:47,1051/2790,48,up,
July 5,05:20,05:23:47,1051/2790,57,up,
July 5,05:20,05:28:38,2415/2790,55,up,
