convertedDate,frameNumber,Date,Timefile,Time,Frame,convertedTime,combinedDate,timeDiff,group,fileNameTimePrefix,fileNameDatePrefix,folderName
2020-07-04,624,July 4,01:00,01:02:15,624/2785,1900-01-01 01:02:15,2020-07-04 01:02:15-01:00,42.0,121,010000,2020-07-04,ARIS_2020_07_04
2020-07-04,1164,July 4,01:00,01:04:10,1164/2785,1900-01-01 01:04:10,2020-07-04 01:04:10-01:00,115.0,122,010000,2020-07-04,ARIS_2020_07_04
2020-07-04,1194,July 4,01:00,01:04:16,1194/2785,1900-01-01 01:04:16,2020-07-04 01:04:16-01:00,6.0,122,010000,2020-07-04,ARIS_2020_07_04
2020-07-04,1714,July 4,01:00,01:06:10,1714/2785,1900-01-01 01:06:10,2020-07-04 01:06:10-01:00,114.0,123,010000,2020-07-04,ARIS_2020_07_04
2020-07-04,1843,July 4,01:00,01:06:37,1843/2785,1900-01-01 01:06:37,2020-07-04 01:06:37-01:00,27.0,124,010000,2020-07-04,ARIS_2020_07_04
2020-07-04,1850,July 4,01:00,01:06:38,1850/2785,1900-01-01 01:06:38,2020-07-04 01:06:38-01:00,1.0,124,010000,2020-07-04,ARIS_2020_07_04
2020-07-04,2400,July 4,01:00,01:08:36,2400/2785,1900-01-01 01:08:36,2020-07-04 01:08:36-01:00,118.0,125,010000,2020-07-04,ARIS_2020_07_04
2020-07-04,2759,July 4,01:00,01:09:54,2759/2785,1900-01-01 01:09:54,2020-07-04 01:09:54-01:00,78.0,126,010000,2020-07-04,ARIS_2020_07_04
2020-07-04,46,July 4,01:50,01:50:12,46/2785,1900-01-01 01:50:12,2020-07-04 01:50:12-01:00,2418.0,127,015000,2020-07-04,ARIS_2020_07_04
2020-07-04,530,July 4,01:50,01:51:57,530/2785,1900-01-01 01:51:57,2020-07-04 01:51:57-01:00,105.0,128,015000,2020-07-04,ARIS_2020_07_04
2020-07-04,794,July 4,01:50,01:52:52,794/2785,1900-01-01 01:52:52,2020-07-04 01:52:52-01:00,55.0,129,015000,2020-07-04,ARIS_2020_07_04
2020-07-04,1065,July 4,01:50,01:53:52,1065/2785,1900-01-01 01:53:52,2020-07-04 01:53:52-01:00,60.0,130,015000,2020-07-04,ARIS_2020_07_04
2020-07-04,1120,July 4,01:50,01:54:05,1120/2785,1900-01-01 01:54:05,2020-07-04 01:54:05-01:00,13.0,130,015000,2020-07-04,ARIS_2020_07_04
2020-07-04,1206,July 4,01:50,01:54:23,1206/2785,1900-01-01 01:54:23,2020-07-04 01:54:23-01:00,18.0,130,015000,2020-07-04,ARIS_2020_07_04
